Year,FFD,GHD,Jpn_temp_anom,Jpn_temp,Fr_temp_anom,Fr_temp
1715,107,27.6,,,,
1716,110,32.0,,,,
1717,98,25.0,,,,
1718,102,3.3,,,,
1719,102,-0.5,,,,
1720,114,28.3,,,,
1721,95,32.0,,,,
1722,100,23.3,,,,
1723,104,17.6,,,,
1724,99,22.4,,,,
1725,106,42.0,,,,
1726,116,11.1,,,,
1727,112,11.3,,,,
1728,104,15.3,,,,
1729,105,31.6,,,,
1730,,29.3,,,,
1731,104,22.1,,,,
1732,108,20.6,,,,
1733,107,28.0,,,,
1734,102,17.4,,,,
1735,101,39.1,,,,
1736,106,20.1,,,,
1737,93,19.4,,,,
1738,101,31.3,,,,
1739,110,26.2,,,,
1740,115,49.1,,,,
1741,109,27.3,,,,
1742,109,33.0,,,,
1743,108,27.0,,,,
1744,98,32.0,,,,
1745,105,30.1,,,,
1746,110,27.9,,,,
1747,101,33.3,,,,
1748,96,27.0,,,,
1749,100,30.3,,,,
1750,110,25.5,,,,
1751,103,37.0,,,,
1752,110,30.0,,,,
1753,96,21.0,,,0.5298,9.5198
1754,115,32.0,,,0.2464,9.2364
1755,120,18.0,,,0.9574,9.9474
1756,109,35.3,,,-0.109,8.881
1757,112,27.4,,,1.0994,10.0894
1758,101,26.3,,,-0.3732,8.6168
1759,109,25.3,,,0.7808,9.7708
1760,103,17.0,,,0.8944,9.8844
1761,89,16.0,,,0.9316,9.9216
1762,106,17.0,,,1.5038,10.4938
1763,112,37.0,,,0.1902,9.1802
1764,98,14.0,,,0.3358,9.3258
1765,106,25.6,,,0.04,9.03
1766,113,28.6,,,0.7396,9.7296
1767,101,37.0,,,-0.2978,8.6922
1768,117,29.0,,,0.3248,9.3148
1769,,29.0,,,0.1416,9.1316
1770,105,38.5,,,-0.534,8.456
1771,104,27.5,,,-0.0772,8.9128
1772,106,26.0,,,0.4608,9.4508
1773,100,29.0,,,-0.3618,8.6282
1774,110,24.0,,,0.788,9.778
1775,99,27.0,,,0.3352,9.3252
1776,108,31.5,,,0.2966,9.2866
1777,104,32.5,,,-0.3148,8.6752
1778,111,25.4,,,1.3816,10.3716
1779,96,24.6,,,0.9584,9.9484
1780,109,20.6,,,1.1674,10.1574
1781,91,12.0,,,1.7586,10.7486
1782,109,32.0,,,0.4546,9.4446
1783,103,20.1,,,1.058,10.048
1784,105,19.4,,,0.4796,9.4696
1785,108,24.4,,,-0.43,8.56
1786,106,27.8,,,0.3066,9.2966
1787,105,35.0,,,-0.024,8.966
1788,109,18.6,,,1.1802,10.1702
1789,106,38.1,,,0.4344,9.4244
1790,119,28.8,,,0.26,9.25
1791,99,20.4,,,1.0332,10.0232
1792,101,34.4,,,0.6836,9.6736
1793,106,24.5,,,0.5288,9.5188
1794,104,15.6,,,1.4954,10.4854
1795,113,28.5,,,0.5888,9.5788
1796,103,37.6,,,0.0464,9.0364
1797,97,41.3,,,0.9292,9.9192
1798,110,17.6,,,0.996,9.986
1799,103,41.5,,,-0.9728,8.0172
1800,103,26.8,,,1.1914,10.1814
1801,105,29.3,,,0.0834,9.0734
1802,96,26.3,,,1.0334,10.0234
1803,110,30.3,,,0.7958,9.7858
1804,104,30.5,,,0.62,9.61
1805,93,48.9,,,-1.2168,7.7732
1806,114,29.6,,,0.0098,8.9998
1807,116,25.3,,,1.283,10.273
1808,98,30.0,,,0.3922,9.3822
1809,107,47.3,,,-0.9906,7.9994
1810,100,33.0,,,-0.7056,8.2844
1811,110,15.5,,,1.4074,10.3974
1812,120,40.0,,,-0.6966,8.2934
1813,107,42.3,,,-0.6334,8.3566
1814,113,37.8,,,-0.4262,8.5638
1815,111,23.6,,,-0.101,8.889
1816,103,51.5,,,-1.9028,7.0872
1817,110,43.6,,,-1.1376,7.8524
1818,106,26.6,,,0.4812,9.4712
1819,106,27.6,,,0.717,9.707
1820,95,42.3,,,0.6016,9.5916
1821,109,48.5,,,-0.6348,8.3552
1822,102,4.0,,,1.5804,10.5704
1823,106,45.0,,,-0.2576,8.7324
1824,108,43.6,,,-0.4498,8.5402
1825,114,21.0,,,0.6684,9.6584
1826,109,33.4,,,0.7232,9.7132
1827,100,30.0,,,0.789,9.779
1828,113,34.4,,,0.573,9.563
1829,112,43.3,,,-0.2472,8.7428
1830,105,30.0,,,0.6226,9.6126
1831,114,30.0,,,0.2422,9.2322
1832,113,36.0,,,0.1678,9.1578
1833,107,29.5,,,-0.0028,8.9872
1834,111,17.0,,,1.32,10.31
1835,112,37.0,,,0.3154,9.3054
1836,112,38.0,,,-0.11,8.88
1837,111,40.9,,,-0.4006,8.5894
1838,109,38.9,,,-0.7358,8.2542
1839,120,31.8,,,-0.293,8.697
1840,105,25.9,,,0.1488,9.1388
1841,107,27.0,-2.07,10.18,-0.1732,8.8168
1842,96,19.3,0.33,12.58,0.8486,9.8386
1843,106,46.9,0.049,12.299,-0.649,8.341
1844,106,23.3,-0.228,12.022,-0.043,8.947
1845,102,37.5,-0.326,11.924,-0.654,8.336
1846,98,12.8,0.156,12.406,1.6664,10.6564
1847,107,35.8,-1.351,10.899,0.1296,9.1196
1848,102,30.3,-0.514,11.736,0.725,9.715
1849,100,27.3,0.606,12.856,0.0134,9.0034
1850,109,36.8,-0.089,12.161,-0.3414,8.6486
1851,102,35.8,-1.346,10.904,-0.4334,8.5566
1852,113,25.3,-2.328,9.922,0.0462,9.0362
1853,102,35.5,-1.293,10.957,-0.4282,8.5618
1854,102,28.1,-0.27,11.98,-0.1888,8.8012
1855,101,35.3,-0.031,12.219,-0.5242,8.4658
1856,113,32.6,-0.812,11.438,0.0436,9.0336
1857,108,20.9,-1.232,11.018,0.4448,9.4348
1858,,20.3,-1.241,11.009,0.184,9.174
1859,110,21.0,-0.379,11.871,1.3972,10.3872
1860,115,36.8,-2.539,9.711,-1.1158,7.8742
1861,102,26.1,-0.525,11.725,0.1326,9.1226
1862,117,21.9,-0.456,11.794,0.6534,9.6434
1863,118,20.9,0.161,12.411,0.6344,9.6244
1864,105,25.5,-1.738,10.512,-0.5414,8.4486
1865,96,10.3,-1.446,10.804,1.649,10.639
1866,102,27.0,-0.792,11.458,-0.278,8.712
1867,101,27.8,-0.047,12.203,0.0988,9.0888
1868,,14.0,-1.344,10.906,1.4016,10.3916
1869,113,21.8,-1.104,11.146,0.2184,9.2084
1870,104,21.0,-0.269,11.981,0.6616,9.6516
1871,,35.3,-0.458,11.792,-0.3924,8.5976
1872,,29.5,-0.108,12.142,-0.0958,8.8942
1873,,29.8,-1.939,10.311,0.0382,9.0282
1874,,19.5,-1.06,11.19,0.087,9.077
1875,,24.8,0.758,13.008,0.5514,9.5414
1876,,35.6,0.517,12.767,-0.0784,8.9116
1877,104,35.6,-0.058,12.192,0.108,9.098
1878,,35.0,0.146,12.396,0.1468,9.1368
1879,102,47.5,-0.044,12.206,-1.3304,7.6596
1880,110,29.9,0.739,12.989,-0.2456,8.7444
